match_id,season,round,round_number,match_date,home_team,away_team,venue,home_state,away_state,is_interstate,home_rest_days,away_rest_days,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,score_margin,home_win,target_home_win,target_score_margin,target_total_points,feat_home_win_pct_last3,feat_home_win_pct_last5,feat_home_win_pct_last10,feat_away_win_pct_last3,feat_away_win_pct_last5,feat_away_win_pct_last10,feat_home_avg_score_last3,feat_home_avg_score_last5,feat_home_avg_score_last10,feat_away_avg_score_last3,feat_away_avg_score_last5,feat_away_avg_score_last10,feat_home_avg_conceded_last3,feat_home_avg_conceded_last5,feat_home_avg_conceded_last10,feat_away_avg_conceded_last3,feat_away_avg_conceded_last5,feat_away_avg_conceded_last10,feat_home_win_streak,feat_away_win_streak,feat_home_loss_streak,feat_away_loss_streak,feat_h2h_home_win_rate,feat_venue_home_win_rate,feat_prev_meeting_margin,feat_form_diff_last5,feat_offense_diff_last5,feat_rest_days_diff,enc_home_team,enc_away_team,enc_venue,enc_home_state,enc_away_state
M10001,1983,Round 1,1,1983-05-01,Adelaide Crows,Brisbane Lions,Adelaide Oval,SA,QLD,1,8,7,16,4,100,14,4,88,12,1,1,12,188,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,1,0,1,0,2,1
M10002,1983,Round 1,1,1983-05-03,GWS Giants,Fremantle Dockers,GIANTS Stadium,NSW,WA,1,9,9,17,2,104,14,4,88,16,1,1,16,192,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0,6,5,1,0,4
M10003,1983,Round 1,1,1983-05-05,Collingwood Magpies,Richmond Tigers,MCG,VIC,VIC,0,7,8,15,4,94,17,1,103,-9,0,0,-9,197,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,-1,3,13,5,3,3
M10004,1983,Round 1,1,1983-05-07,West Coast Eagles,Sydney Swans,Optus Stadium,WA,NSW,1,7,8,14,4,88,14,5,89,-1,0,0,-1,177,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,-1,16,15,7,4,0
M10005,1983,Round 1,1,1983-05-09,North Melbourne Kangaroos,Carlton Blues,Marvel Stadium,VIC,VIC,0,7,7,16,6,102,14,1,85,17,1,1,17,187,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0,11,2,6,3,3
M10006,1983,Round 1,1,1983-05-11,Hawthorn Hawks,Western Bulldogs,MCG,VIC,VIC,0,7,7,16,1,97,11,7,73,24,1,1,24,170,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0,9,17,5,3,3
M10007,1983,Round 1,1,1983-05-13,Essendon Bombers,Port Adelaide Power,Marvel Stadium,VIC,SA,1,8,7,15,9,99,13,0,78,21,1,1,21,177,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,1,4,12,6,3,2
M10008,1983,Round 1,1,1983-05-15,Gold Coast Suns,Melbourne Demons,Heritage Bank Stadium,QLD,VIC,1,6,6,17,0,102,15,2,92,10,1,1,10,194,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0,8,10,4,1,3
M10009,1983,Round 1,1,1983-05-17,St Kilda Saints,Geelong Cats,Marvel Stadium,VIC,VIC,0,8,7,15,1,91,16,0,96,-5,0,0,-5,187,0.5,0.5,0.5,0.5,0.5,0.5,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,1,14,7,6,3,3
M10010,1983,Round 2,2,1983-06-01,Port Adelaide Power,Brisbane Lions,Adelaide Oval,SA,QLD,1,9,7,15,9,99,13,5,83,16,1,1,16,182,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,78.0,88.0,88.0,88.0,99.0,99.0,99.0,100.0,100.0,100.0,0,0,1,1,0.5,0.5,0.0,0.0,-10.0,2,12,1,0,2,1
