match_id,season,round,round_number,match_date,home_team,away_team,venue,home_state,away_state,is_interstate,home_rest_days,away_rest_days,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,score_margin,home_win,target_home_win
M10001,1983,Round 1,1,1983-05-01,Adelaide Crows,Brisbane Lions,Adelaide Oval,SA,QLD,1,8,7,16,4,100,14,4,88,12,1,1
M10002,1983,Round 1,1,1983-05-03,GWS Giants,Fremantle Dockers,GIANTS Stadium,NSW,WA,1,9,9,17,2,104,14,4,88,16,1,1
M10003,1983,Round 1,1,1983-05-05,Collingwood Magpies,Richmond Tigers,MCG,VIC,VIC,0,7,8,15,4,94,17,1,103,-9,0,0
M10004,1983,Round 1,1,1983-05-07,West Coast Eagles,Sydney Swans,Optus Stadium,WA,NSW,1,7,8,14,4,88,14,5,89,-1,0,0
M10005,1983,Round 1,1,1983-05-09,North Melbourne Kangaroos,Carlton Blues,Marvel Stadium,VIC,VIC,0,7,7,16,6,102,14,1,85,17,1,1
M10006,1983,Round 1,1,1983-05-11,Hawthorn Hawks,Western Bulldogs,MCG,VIC,VIC,0,7,7,16,1,97,11,7,73,24,1,1
M10007,1983,Round 1,1,1983-05-13,Essendon Bombers,Port Adelaide Power,Marvel Stadium,VIC,SA,1,8,7,15,9,99,13,0,78,21,1,1
M10008,1983,Round 1,1,1983-05-15,Gold Coast Suns,Melbourne Demons,Heritage Bank Stadium,QLD,VIC,1,6,6,17,0,102,15,2,92,10,1,1
M10009,1983,Round 1,1,1983-05-17,St Kilda Saints,Geelong Cats,Marvel Stadium,VIC,VIC,0,8,7,15,1,91,16,0,96,-5,0,0
M10010,1983,Round 2,2,1983-06-01,Port Adelaide Power,Brisbane Lions,Adelaide Oval,SA,QLD,1,9,7,15,9,99,13,5,83,16,1,1
M10011,1983,Round 2,2,1983-06-03,Fremantle Dockers,Carlton Blues,Optus Stadium,WA,VIC,1,7,8,14,3,87,13,1,79,8,1,1
M10012,1983,Round 2,2,1983-06-05,North Melbourne Kangaroos,Essendon Bombers,Marvel Stadium,VIC,VIC,0,8,9,16,4,100,15,4,94,6,1,1
M10013,1983,Round 2,2,1983-06-07,West Coast Eagles,St Kilda Saints,Optus Stadium,WA,VIC,1,7,6,14,8,92,12,8,80,12,1,1
