Feature Name,Description,Formula / Calculation,Computation Window,Source Columns,Leakage Risk
match_id,Match Id,Derived from match_id,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
season,Season,Derived from season,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
round,Round,Derived from round,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
round_number,Round Number,Derived from round_number,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
match_date,Match Date,Derived from match_date,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
home_team,Home Team,Derived from home_team,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
away_team,Away Team,Derived from away_team,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
venue,Venue,Derived from venue,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
home_state,Home State,Derived from home_state,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
away_state,Away State,Derived from away_state,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
is_interstate,Is Interstate,Derived from is_interstate,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
home_rest_days,Home Rest Days,Derived from home_rest_days,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
away_rest_days,Away Rest Days,Derived from away_rest_days,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
home_goals,Home Goals,Derived from home_goals,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
home_behinds,Home Behinds,Derived from home_behinds,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
home_score,Home Score,Derived from home_score,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
away_goals,Away Goals,Derived from away_goals,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
away_behinds,Away Behinds,Derived from away_behinds,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
away_score,Away Score,Derived from away_score,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
score_margin,Score Margin,Derived from score_margin,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
home_win,Home Win,Derived from home_win,Match Metadata,"score_margin, match_date, home_team, away_team",Zero (Pre-match metadata)
target_home_win,Model Prediction Target,Derived from target_home_win,Post-Match Outcome,"score_margin, match_date, home_team, away_team",Target Variable (Excluded from predictors)
target_score_margin,Model Prediction Target,Derived from target_score_margin,Post-Match Outcome,"score_margin, match_date, home_team, away_team",Target Variable (Excluded from predictors)
target_total_points,Model Prediction Target,Derived from target_total_points,Post-Match Outcome,"score_margin, match_date, home_team, away_team",Target Variable (Excluded from predictors)
feat_home_win_pct_last3,Feat Home Win Pct Last3,Derived from feat_home_win_pct_last3,Pre-Match Rolling (Last 3/5/10),"score_margin, match_date, home_team, away_team",Zero (Strictly shifted pre-kickoff)
feat_home_win_pct_last5,Feat Home Win Pct Last5,Derived from feat_home_win_pct_last5,Pre-Match Rolling (Last 3/5/10),"score_margin, match_date, home_team, away_team",Zero (Strictly shifted pre-kickoff)
feat_home_win_pct_last10,Feat Home Win Pct Last10,Derived from feat_home_win_pct_last10,Pre-Match Rolling (Last 3/5/10),"score_margin, match_date, home_team, away_team",Zero (Strictly shifted pre-kickoff)
